,Followings,Followers,MediaCount,Likes,Comments ,CreationTime,Selfie,BodySnap,Marketing,ProductOnly,NonFashion,Face,Logo,BrandLogo,Smile,Outdoor,NumberOfPeople,NumberOfFashionProduct,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
2242,138.0,1592.0,868,28,0,1453844467,0.000628188,0.00148821,0.00365483,0.995799,0.00659561,0.000931374,0.400252,0.0235967,0.000715145,0.00796581,0.185384,3.17106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2243,40.0,103.0,47,28,4,1453840665,0.00413419,0.96221,0.0213506,0.0151711,0.00456985,0.281689,0.0347357,0.0216701,0.0598888,0.0293211,0.73351,3.52087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2244,976.0,315.0,71,28,0,1453828387,0.000416101,0.0155347,0.0671509,0.945934,0.00163123,0.00803421,0.412131,0.0764378,0.00131077,0.00343498,0.295605,2.18566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2247,476.0,626.0,88,27,1,1453853620,0.00266389,0.549273,0.0952525,0.00564764,0.0692127,0.942786,0.99974,0.111001,0.345698,0.0130958,0.696687,2.9724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2250,434.0,1662.0,512,27,1,1453807094,0.000747533,0.0188477,0.0542843,0.935079,0.00242813,0.0147701,0.695332,0.166406,0.00240895,0.00886371,0.409409,2.32427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2252,40.0,103.0,47,26,3,1453840280,0.0171513,0.516244,0.0555509,0.0973184,0.0118437,0.148176,0.0397257,0.0367263,0.0320468,0.0398898,0.819402,2.56359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2256,165.0,79.0,45,45,4,1453875048,0.00222674,0.99776,0.027504,0.000315846,0.000155811,0.888683,0.132516,0.0224696,0.21464,0.0629183,0.855325,4.63786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2264,455.0,610.0,271,24,4,1453831136,0.00016757,0.0200082,0.00333896,0.991847,0.00235713,0.000917712,0.995172,0.134542,0.00121781,0.00151866,0.107723,1.51166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2265,895.0,364.0,124,24,3,1453825669,0.00146301,0.991674,0.00442876,0.00345689,0.000365176,0.571241,0.236474,0.0138239,0.11423,0.0351743,0.666671,5.59961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2266,219.0,1125.0,244,24,0,1453824820,0.00254976,0.0104098,0.040466,0.919764,0.018557,0.0154741,0.105674,0.0747611,0.00368835,0.092612,0.398244,2.37453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2276,999.0,602.0,398,23,0,1453810885,0.000109503,0.089919,0.00931433,0.836614,0.00137029,0.000921151,0.0962654,0.0805842,0.000385846,0.00504199,0.0806313,1.22106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2281,2328.0,5731.0,1044,22,6,1453826489,0.00425236,0.923198,0.0182207,0.0153217,0.0225781,0.283308,0.106624,0.0201427,0.0577352,0.0171922,0.819924,4.62474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2283,622.0,105.0,96,21,3,1453871902,0.00554601,0.92003,0.0630601,0.000611636,0.00101358,0.957204,0.20446,0.0344475,0.191724,0.11907,0.913648,3.64659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2285,289.0,160.0,600,21,0,1453857649,0.00544595,0.991691,0.00418868,0.00328901,0.00324258,0.333733,0.0714905,0.00825053,0.0885693,0.0208626,0.720549,3.68505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
